Year,Country,Name,Role
2022,Slovakia,Michal Forišek,ISC member
2022,Slovakia,Bohdan Jóža,Guest
2022,Slovenia,Darko Pevec,Leader
2022,Slovenia,Marko Poženel,Deputy leader
2022,South Africa,Mohammed Taariq Mowzer,Leader
2022,South Africa,Kamohelo Motloung,Deputy leader
2022,Spain,Jacobo Vilella Vilahur,Leader
2022,Spain,Yahor Dubovik,Deputy leader
2022,Spain,Felix Moreno Peñarrubia,Invited guest
2022,Sri Lanka,Suvin Kodituwakku,Leader
2022,Sri Lanka,Ashan Rathnaweera,Deputy leader
2022,Sweden,Johan Sannemo,Leader
2022,Sweden,Nils Gustafsson,Deputy leader
2022,Sweden,Fredrik Niemelä,ITC member
2022,Switzerland,Stefanie Zbinden,Leader
2022,Switzerland,Johannes Kapfhammer,Deputy leader
2022,Switzerland,Timon Stampfli,Guest
2022,Syria,Ubai Sandouk,Leader
2022,Syria,Madhat Alsoos,Deputy leader
2022,Syria,Alaa Kasem,Guest
2022,Syria,Haneen Salhab,Guest
2022,Syria,Mhd Baraa Armoush,Guest
2022,Syria,Mohammad Nour Massri,Guest
2022,Syria,Rabeeh Jouni,Guest
2022,Syria,Rouaa Wannous,Guest
2022,Syria,Salma Lahham,Guest
2022,Taiwan,Greg Lee,Leader
2022,Taiwan,Hung-Lung Wang,Deputy leader
2022,Taiwan,Shang-En Huang,Guest
2022,Taiwan,Shi-Chun Tsai,Guest
2022,Tajikistan,Alexandr Ismatov,Leader
2022,Tajikistan,Manuchehr Valizoda,Deputy leader
2022,Thailand,Panuakdet Suwannatat,Leader
2022,Thailand,Thanawin Rakthanmanon,Deputy leader
2022,Thailand,Akkarit Sangpetch,Guest
2022,Thailand,Niramis Painprasert,Guest
2022,Thailand,Praiboon Pantaragphong,Guest
2022,Thailand,Sampart Cheedket,Guest
2022,Tunisia,Hichem Razgallah,Leader
2022,Tunisia,Dorsaf Benna,Deputy leader
2022,Türkiye,Muhammed Fatih Demirci,Leader
2022,Türkiye,Buğra Çaşkurlu,Deputy leader
2022,Türkiye,Elmashan Demirci,Guest
2022,Türkiye,Harun Arslan,Guest
2022,Türkiye,Mahmut Kamil Kocin,Guest
2022,Turkmenistan,Kochek Arazov,Leader
2022,Turkmenistan,Amangeldi Meretglychov,Deputy leader
2022,Turkmenistan,Kerim Kochekov,Guest
2022,Ukraine,Anton Tsypko,Leader
2022,Ukraine,Valentyn Melnyk,Deputy leader
2022,United Kingdom,Fieke Dekkers,Leader
2022,United Kingdom,Richard Forster,Deputy leader
2022,United Kingdom,Yuen Ching Teng,Guest
2022,United States of America,Mark Chen,Leader
2022,United States of America,Spencer Compton,Deputy leader
2022,United States of America,Joy Jiao,Guest
2022,United States of America,Yuni Xia,Guest
2022,Uzbekistan,Asadullo Ganiev,Leader
2022,Uzbekistan,Aziz Khasanov,Deputy leader
2022,Uzbekistan,Anvarjon Gayratov,Guest
2022,Venezuela,Jose Trinidad Trino Gomez Barreto,Leader
2022,Venezuela,Emilio Nazareth Tirado Oviedo,Deputy leader
2022,Venezuela,Ricardo Jose Tovar Montero,Guest
2022,Vietnam,Thuan Do Phan,Leader
2022,Vietnam,Dong Do Duc,Deputy leader
2022,Vietnam,Dam Ho Si,Guest
2022,Vietnam,Hoang Nguyen Thanh,Guest
2022,Vietnam,Khue Le Don,Guest
2022,Vietnam,Phuong Nguyen Khanh,Guest
