Year,Name,Role
2020,Ágnes Erdősné Németh,IC member
2020,Araz Yusubov,IC member
2020,Benjamin Burton,IC member
2020,Eduards Kaļiņičenko,IC member
2020,Eslam Wageed,IC member
2020,Mile Jovanov,IC member
2020,Steven Halim,IC member
2020,Sun Teck Tan,IC member
2020,Valentina Dagienė,IC member
2020,Yugo Kartono Isal,IC member
2020,Ali Sharifi Zarchi,ISC member
2020,Farid Ahmadov,ISC member
2020,Jakub Łącki,ISC member
2020,Jonathan Irvin Gunawan,ISC member
2020,Mikhail Tikhomirov,ISC member
2020,Wei Liang Gan,ISC member
2020,Ashar Fuadi,ITC member
2020,Fredrik Niemelä,ITC member
2020,Jamaladdin Hasanov,ITC member
2020,Martin Mareš,ITC member
2020,Ranald Yun Shao Lam,ITC member
2020,Wael Ewida,ITC member
2020,William Di Luigi,ITC member
2021,Greg Lee,President
2021,Eljakim Schrijvers,Treasurer
2021,Bernard Cheng Yian Tan,Chairman
2021,Ágnes Erdősné Németh,IC member
2021,Araz Yusubov,IC member
2021,Benjamin Burton,IC member
2021,Eduards Kaļiņičenko,IC member
2021,Eslam Wageed,IC member
2021,Mile Jovanov,IC member
2021,Steven Halim,IC member
2021,Sun Teck Tan,IC member
2021,Valentina Dagienė,IC member
2021,Yugo Kartono Isal,IC member
2021,Ali Sharifi Zarchi,ISC member
2021,Jakub Łącki,ISC member
2021,Jonathan Irvin Gunawan,ISC member
2021,Mikhail Tikhomirov,ISC member
2021,Wei Liang Gan,ISC member
2021,Zsolt Németh,ISC member
2021,Ashar Fuadi,ITC member
2021,Fredrik Niemelä,ITC member
2021,László Nyúl,ITC member
2021,Martin Mareš,ITC member
2021,Ranald Yun Shao Lam,ITC member
2021,William Di Luigi,ITC member
2022,Benjamin Burton,President
2022,John-Paul Pretti,Secretary
2022,Eljakim Schrijvers,Treasurer
2022,Brian Marshal,Chairman
2022,Ágnes Erdősné Németh,IC member
2022,Araz Yusubov,IC member
2022,Catherine Espinoza,IC member
2022,Eduards Kaļiņičenko,IC member
2022,Eslam Wageed,IC member
2022,Jhonatan Castro,IC member
2022,Mile Jovanov,IC member
2022,Ricardo Anido,IC member
2022,Sun Teck Tan,IC member
2022,Yugo Kartono Isal,IC member
2022,Jakub Łącki,ISC member
2022,Jonathan Irvin Gunawan,ISC member
2022,Mahmoud Badawy,ISC member
2022,Michal Forišek,ISC member
2022,Mikhail Tikhomirov,ISC member
2022,Wei Liang Gan,ISC member
2022,Zsolt Németh,ISC member
2022,Ashar Fuadi,ITC member
2022,Fredrik Niemelä,ITC member
2022,Hamid Zarrabi-Zadeh,ITC member
2022,László Nyúl,ITC member
2022,Martin Mareš,ITC member
2022,Ranald Yun Shao Lam,ITC member
2022,Wael Ewida,ITC member
2023,Benjamin Burton,President
