Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
281,Sebastián Mestre,Argentina,30,0,0,0,5,19,54,9.00,
281,Stevo Mitrić,Bosnia and Herzegovina,30,0,15,0,5,4,54,9.00,
283,Mohammad Zaid,India,10,0,0,2,5,36,53,8.83,
284,Aya Ben Saad,Tunisia,30,0,0,0,5,17,52,8.67,
284,Behruz Azam,Uzbekistan,30,5,0,0,0,17,52,8.67,
284,Evripidis Papaevripidis,Cyprus,30,0,0,6,12,4,52,8.67,
284,Maayan Levy,New Zealand,30,11,0,0,11,0,52,8.67,
288,Jarod Differdange,Luxembourg,30,11,7,0,0,0,48,8.00,
289,Ivan Solovyev,New Zealand,10,0,0,6,12,19,47,7.83,
289,Luis Javier Quispe Ramirez,Bolivia,30,11,0,2,0,4,47,7.83,
291,Andrew James Ting,Philippines,10,11,0,6,0,19,46,7.67,
291,Oisín O'Duibhir,Ireland,10,0,15,2,0,19,46,7.67,
293,Caolan Fleming,Ireland,30,11,0,0,0,4,45,7.50,
293,Davlathoja Magzumov,Tajikistan,30,0,15,0,0,0,45,7.50,
293,Emile Tredoux,South Africa,30,5,0,6,0,4,45,7.50,
296,Elias Boschung,Switzerland,30,0,7,6,0,0,43,7.17,
296,Shenal Santhush Kotuwewatta,Sri Lanka,30,11,0,2,0,0,43,7.17,
298,Manuel Vides,El Salvador,30,0,0,2,5,0,37,6.17,
298,Oliver Stenberg Jakobsen,Denmark,5,0,7,6,0,19,37,6.17,
300,Cesar Diaz,Colombia,30,0,0,2,0,4,36,6.00,
301,Sithija Abhishek Kotuwewatta,Sri Lanka,30,5,0,0,0,0,35,5.83,
302,Gamithra Marga,Iceland,30,0,0,0,0,4,34,5.67,
303,Omar Besbes,Tunisia,30,0,0,2,0,0,32,5.33,
304,Bjarni Dagur Thor Kárason,Iceland,5,5,0,2,0,19,31,5.17,
304,Choudhury Istasis Mishra,India,5,0,15,6,5,0,31,5.17,
306,Akmal Mamadshoev,Tajikistan,30,0,0,0,0,0,30,5.00,
306,Marcelo Leonardo Flores Zeballos,Bolivia,30,0,0,0,0,0,30,5.00,
306,Paul Anthony Ramirez Cabrera,Dominican Republic,30,0,0,0,0,0,30,5.00,
306,Shokhrukhbek Mamadaliev,Uzbekistan,30,0,0,0,0,0,30,5.00,
306,Viktor Alexandrovich Rozenko Voitenko,Dominican Republic,30,0,0,0,0,0,30,5.00,
311,Nicolas Galindo,Colombia,10,0,0,2,5,4,21,3.50,
312,Markus Walder,Austria,10,0,0,2,0,4,16,2.67,
313,Andreas Kalavas,Cyprus,10,5,0,0,0,0,15,2.50,
314,Carlos Bienvenido Ogando Montás,Dominican Republic,10,0,0,0,0,4,14,2.33,
314,Houssam Hanafi,Morocco,10,0,0,0,0,4,14,2.33,
314,José Ramirez,El Salvador,10,0,0,0,0,4,14,2.33,
314,Ryan King,New Zealand,10,0,0,0,0,4,14,2.33,
318,Arturo Aurelio Hernandez Rodriguez,Dominican Republic,10,0,0,2,0,0,12,2.00,
318,José Rodrigo Santamaría Castro,El Salvador,5,0,0,2,5,0,12,2.00,
320,Anass Choukri,Morocco,10,0,0,0,0,0,10,1.67,
